instance,solver,rate reason-deletions,rate time,rate d-time
by-X-2-7-100,abcdsat_r18@default,345,19601.88,12968.81
queen12_12.col.12,GHackCOMSPS_drup@ghack_drup,0,18851.76,13199.61
pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c,abcdsat_r18@default,57,16552.51,12369.68
Problem14_label20_true-unreach-call.c,GHackCOMSPS_drup@ghack_drup,227593,4108.88,545.43
Problem14_label20_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,168137,3567.78,47.22
quadratic_tight_error.c,smallsat@default,441,17136.65,13983.09
queen12_12.col.12,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,16709.92,13585.53
Problem14_label19_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,328575,4215.10,1236.09
Problem14_label20_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,168137,3421.19,461.62
sdiv17prop,Lingeling@default,44,15328.65,12457.79
Problem14_label19_true-unreach-call.c,Sparrow2Riss-2018-fixfix@MAIN,297170,4391.54,1570.86
Problem14_label20_true-unreach-call.c,Sparrow2Riss-2018-fixfix@MAIN,168137,3236.43,471.78
Problem14_label20_true-unreach-call.c,Minisat-v2.2.0-106-ge2dd095@simp_proof,227503,3035.44,485.81
Problem14_label55_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,168140,4720.26,2199.09
Problem14_label55_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,168446,3844.53,1534.86
Problem14_label48_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,169183,6259.24,4068.60
sdiv17prop,CaDiCaL@DONTUNZIP-fixed,441,12152.03,9972.53
Problem14_label20_true-unreach-call.c,glucose4.2.1@default,127177,2197.86,33.75
Problem14_label20_true-unreach-call.c,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,132196,2838.81,831.49
Problem14_label20_true-unreach-call.c,expMC_VSIDS_LRB_Switch_2500@default,132196,2662.45,859.66
Problem14_label20_true-unreach-call.c,expMC_LRB_VSIDS_Switch@default,132196,2572.84,838.45
Problem14_label48_true-unreach-call.c,Riss7.1-fix@BVE_DRAT,170216,4835.33,3113.14
sdiv16prop,Lingeling@default,33,5101.97,3437.40
Problem14_label20_true-unreach-call.c,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,132196,2477.14,826.53
Problem14_label20_true-unreach-call.c,Maple_LCM+BCrestart_M1@default,132196,2334.89,704.25
Problem14_label20_true-unreach-call.c,Maple_LCM+BCrestart@default,132196,2358.82,736.50
Problem14_label20_true-unreach-call.c,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,132196,2428.81,810.01
Problem14_label20_true-unreach-call.c,COMiniSatPS_Pulsar_drup@drup,132196,2270.04,670.75
sdiv17prop,abcdsat_r18@default,0,18431.58,16837.74
pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c,smallsat@default,8615,6389.58,4838.94
Problem14_label20_true-unreach-call.c,Maple_LCM_M1@default,132196,2170.38,667.38
Nb51T6,smallsat@default,0,12626.72,11217.01
