instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
ae_rphp035_05,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,81,6152.29,5852.83
ae_rphp035_05,abcdsat_r18@default,lrat-check pending,lrat-check pending,0,6976.78,6564.58
ae_rphp035_05,smallsat@default,lrat-check pending,lrat-check pending,0,3481.01,3397.54
ae_rphp035_05,varisat@default,lrat-check pending,lrat-check pending,0,2998.26,3019.50
ae_rphp055_04,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,193,397.69,414.56
ae_rphp055_04,Lingeling@default,lrat-check pending,lrat-check pending,0,2050.52,2334.08
ae_rphp055_04,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,29,833.64,876.40
ae_rphp055_04,smallsat@default,lrat-check pending,lrat-check pending,0,1774.42,2164.15
ae_rphp055_04,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,29,857.63,882.75
ae_rphp055_04,varisat@default,lrat-check pending,lrat-check pending,0,631.67,626.75
ae_rphp075_04,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,197,3230.77,3263.80
a_rphp035_05,abcdsat_r18@default,lrat-check pending,lrat-check pending,0,4889.68,4780.04
a_rphp035_05,smallsat@default,lrat-check pending,lrat-check pending,0,4758.25,4595.73
a_rphp055_04,abcdsat_r18@default,lrat-check pending,lrat-check pending,3,5380.96,5220.90
a_rphp055_04,Lingeling@default,lrat-check pending,lrat-check pending,0,2146.76,2234.82
a_rphp055_04,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,103,3043.32,2663.49
a_rphp055_04,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,32,792.30,881.37
a_rphp055_04,smallsat@default,lrat-check pending,lrat-check pending,0,2602.93,2509.80
a_rphp055_04,varisat@default,lrat-check pending,lrat-check pending,0,686.71,652.82
a_rphp065_04,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,157,877.91,918.00
a_rphp065_04,abcdsat_r18@default,lrat-check pending,lrat-check pending,7,3775.60,3942.73
a_rphp065_04,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,36,1706.48,1705.98
a_rphp065_04,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,28,2497.40,2413.70
a_rphp065_04,smallsat@default,lrat-check pending,lrat-check pending,0,5026.73,5406.08
a_rphp065_04,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,28,2458.25,2477.75
a_rphp065_04,varisat@default,lrat-check pending,lrat-check pending,0,1540.84,1478.85
assoc_mult_err_3.c,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,8364,107.90,128.92
assoc_mult_err_3.c,abcdsat_r18@default,lrat-check pending,lrat-check pending,2,414.95,455.48
assoc_mult_err_3.c,Lingeling@default,lrat-check pending,lrat-check pending,5305,179.60,248.58
assoc_mult_err_3.c,smallsat@default,lrat-check pending,lrat-check pending,208,380.27,531.98
assoc_mult_err_3.c,varisat@default,lrat-check pending,lrat-check pending,0,1281.77,1067.40
avg_true-unreach-call.i,Lingeling@default,lrat-check pending,lrat-check pending,9865,1469.32,1973.32
avg_true-unreach-call.i,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,20901,1430.38,1613.21
avg_true-unreach-call.i,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,20901,1931.24,2281.25
avg_true-unreach-call.i,varisat@default,lrat-check pending,lrat-check pending,0,3062.66,3071.46
by-X-2-7-100,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,33366,6818.96,6959.40
by-X-2-7-100,abcdsat_r18@default,lrat-check pending,lrat-check pending,345,19601.88,12968.81
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,897,1.33,1.45
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,abcdsat_r18@default,lrat-check pending,lrat-check pending,632,1.90,2.24
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,cms55-main-all4fixed@autotune,lrat-check pending,lrat-check pending,893,19.25,19.74
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,893,39.68,37.25
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,893,20.68,20.58
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,cms55-main-all4fixed@otherconf,lrat-check pending,lrat-check pending,893,68.52,67.91
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,893,70.83,67.83
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,expMC_LRB_VSIDS_Switch@default,lrat-check pending,lrat-check pending,893,67.51,61.38
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,expMC_VSIDS_LRB_Switch_2500@default,lrat-check pending,lrat-check pending,893,45.30,45.41
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,glucose3.0@proofs,lrat-check pending,lrat-check pending,893,424.69,425.48
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,gluHack@default,lrat-check pending,lrat-check pending,893,495.03,500.86
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Lingeling@default,lrat-check pending,lrat-check pending,25,6.42,7.35
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_CM@default,lrat-check pending,lrat-check pending,894,53.97,53.20
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,893,0.89,0.85
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,lrat-check pending,lrat-check pending,893,0.88,0.88
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,lrat-check pending,lrat-check pending,893,30.20,30.43
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,893,1.04,1.02
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM+BCrestart_M1@default,lrat-check pending,lrat-check pending,893,36.69,41.35
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,893,37.34,40.47
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM_Scavel_fix2@default,lrat-check pending,lrat-check pending,895,48.70,50.60
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,smallsat@default,lrat-check pending,lrat-check pending,613,164.57,162.86
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,varisat@default,lrat-check pending,lrat-check pending,0,480.62,484.53
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,893,1.24,1.74
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,abcdsat_r18@default,lrat-check pending,lrat-check pending,613,1.19,1.20
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,893,71.81,71.28
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,893,188.79,197.84
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,893,28.71,28.74
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,expMC_LRB_VSIDS_Switch_2500@default,lrat-check pending,lrat-check pending,893,126.59,137.66
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,expMC_VSIDS_LRB_Switch_2500@default,lrat-check pending,lrat-check pending,893,105.20,107.29
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,glucose3.0@proofs,lrat-check pending,lrat-check pending,893,511.81,468.90
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Glucose_Hack_Kiel_fastBVE@default,lrat-check pending,lrat-check pending,893,493.14,481.64
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Lingeling@default,lrat-check pending,lrat-check pending,38,193.10,177.21
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM@default,lrat-check pending,lrat-check pending,893,234.82,227.11
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,893,252.80,248.91
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM_ordUIP@default,lrat-check pending,lrat-check pending,893,450.88,466.84
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,lrat-check pending,lrat-check pending,893,19.69,18.65
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,lrat-check pending,lrat-check pending,893,203.47,201.31
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,893,205.08,192.32
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM+BCrestart@default,lrat-check pending,lrat-check pending,893,217.07,212.76
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM+BCrestart_M1@default,lrat-check pending,lrat-check pending,893,48.80,47.18
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleLCMDistChronoBT@default,lrat-check pending,lrat-check pending,893,108.99,96.90
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,893,67.49,77.06
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_Scavel_200_fix2@default,lrat-check pending,lrat-check pending,893,38.10,37.91
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_Scavel_fix2@default,lrat-check pending,lrat-check pending,893,23.64,24.25
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,897,439.37,448.44
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,897,435.94,444.92
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,866,1.20,1.69
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,abcdsat_r18@default,lrat-check pending,lrat-check pending,582,1.21,1.28
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@autotune,lrat-check pending,lrat-check pending,582,0.56,0.45
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,582,0.46,0.41
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,582,0.50,0.41
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@otherconf,lrat-check pending,lrat-check pending,862,2.09,1.94
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,862,172.21,180.24
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expGlucose@default,lrat-check pending,lrat-check pending,862,14.36,16.39
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_LRB_VSIDS_Switch_2500@default,lrat-check pending,lrat-check pending,862,35.90,36.34
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_LRB_VSIDS_Switch@default,lrat-check pending,lrat-check pending,864,62.12,67.43
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_VSIDS_LRB_Switch_2500@default,lrat-check pending,lrat-check pending,862,48.62,52.38
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,GHackCOMSPS_drup@ghack_drup,lrat-check pending,lrat-check pending,864,604.43,590.46
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,glucose-3.0_PADC_3@default,lrat-check pending,lrat-check pending,862,85.28,82.75
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Lingeling@default,lrat-check pending,lrat-check pending,24,10.07,9.27
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM@default,lrat-check pending,lrat-check pending,862,0.97,0.89
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,862,1.12,0.92
