instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
ae_rphp035_05,CaDiCaL@DONTUNZIP-fixed,6152.29,5852.83,5855.85,7765.41,2855.8,2855.8,5266.9,3013.1
ae_rphp035_05,abcdsat_r18@default,6976.78,6564.58,7041.43,11198.03,1787.0,1787.0,3209.4,1872.5
ae_rphp035_05,smallsat@default,3481.01,3397.54,3353.80,6021.10,1511.6,1511.6,2634.2,1565.4
ae_rphp035_05,varisat@default,2998.26,3019.50,2634.38,3572.79,2891.6,2891.6,5320.3,2997.2
ae_rphp055_04,CaDiCaL@DONTUNZIP-fixed,397.69,414.56,391.95,508.38,650.4,650.4,1077.9,652.1
ae_rphp055_04,Lingeling@default,2050.52,2334.08,2137.33,2893.54,703.0,703.0,1183.6,731.6
ae_rphp055_04,Riss7.1-fix@BVE_DRAT,833.64,876.40,811.48,1172.40,776.5,776.6,1324.9,776.9
ae_rphp055_04,smallsat@default,1774.42,2164.15,1916.77,3402.04,1051.5,1051.5,1828.0,1030.9
ae_rphp055_04,Sparrow2Riss-2018-fixfix@MAIN,857.63,882.75,945.14,1410.50,776.7,776.5,1333.8,776.8
ae_rphp055_04,varisat@default,631.67,626.75,653.38,860.32,1384.1,1384.0,2466.9,1350.6
ae_rphp075_04,CaDiCaL@DONTUNZIP-fixed,3230.77,3263.80,2889.43,4230.26,2496.6,2496.3,4618.7,2639.8
a_rphp035_05,abcdsat_r18@default,4889.68,4780.04,5233.66,6649.96,2593.6,2593.3,4732.6,2638.4
a_rphp035_05,smallsat@default,4758.25,4595.73,5113.56,7447.39,1878.8,1878.8,3405.0,1948.1
a_rphp055_04,abcdsat_r18@default,5380.96,5220.90,5048.39,9199.23,2418.6,2418.5,4487.1,2502.0
a_rphp055_04,Lingeling@default,2146.76,2234.82,2126.81,2911.44,679.5,679.5,1159.5,698.2
a_rphp055_04,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,3043.32,2663.49,2125.27,3704.10,1510.2,1510.3,2721.3,1481.9
a_rphp055_04,Riss7.1-fix@BVE_DRAT,792.30,881.37,779.19,1074.67,734.5,734.6,1261.7,732.1
a_rphp055_04,smallsat@default,2602.93,2509.80,3301.06,4757.20,1013.7,1013.7,1762.6,985.1
a_rphp055_04,varisat@default,686.71,652.82,594.36,951.29,1656.6,1656.5,3015.5,1629.9
a_rphp065_04,CaDiCaL@DONTUNZIP-fixed,877.91,918.00,797.64,1267.64,1129.5,1129.4,1959.5,1134.7
a_rphp065_04,abcdsat_r18@default,3775.60,3942.73,3743.52,6270.82,1146.6,1146.4,2050.9,1153.6
a_rphp065_04,COMiniSatPS_Pulsar_drup@drup,1706.48,1705.98,1595.14,2528.90,1565.4,1565.4,2848.9,1568.4
a_rphp065_04,Riss7.1-fix@BVE_DRAT,2497.40,2413.70,2724.12,3499.82,1771.7,1771.7,3266.1,1794.2
a_rphp065_04,smallsat@default,5026.73,5406.08,4880.74,7776.96,1404.0,1404.1,2555.9,1425.9
a_rphp065_04,Sparrow2Riss-2018-fixfix@MAIN,2458.25,2477.75,2638.58,3728.27,1771.8,1771.7,3269.0,1794.3
a_rphp065_04,varisat@default,1540.84,1478.85,1869.56,2609.25,3663.0,3662.8,6969.8,3700.0
assoc_mult_err_3.c,CaDiCaL@DONTUNZIP-fixed,107.90,128.92,76.99,119.60,108.6,108.8,85.4,109.1
assoc_mult_err_3.c,abcdsat_r18@default,414.95,455.48,255.89,510.11,193.5,193.4,255.9,185.8
assoc_mult_err_3.c,Lingeling@default,179.60,248.58,113.00,176.77,118.1,118.2,90.6,116.7
assoc_mult_err_3.c,smallsat@default,380.27,531.98,250.61,405.67,137.1,137.1,166.2,131.9
assoc_mult_err_3.c,varisat@default,1281.77,1067.40,603.09,932.10,184.3,184.5,233.0,180.1
avg_true-unreach-call.i,Lingeling@default,1469.32,1973.32,335.43,757.88,415.8,413.0,625.0,416.4
avg_true-unreach-call.i,Riss7.1-fix@BVE_DRAT,1430.38,1613.21,515.63,932.55,523.6,523.3,861.7,515.7
avg_true-unreach-call.i,Sparrow2Riss-2018-fixfix@MAIN,1931.24,2281.25,595.41,899.77,523.5,523.6,878.1,515.7
avg_true-unreach-call.i,varisat@default,3062.66,3071.46,2006.09,2140.98,2284.3,2284.1,4304.6,2271.5
by-X-2-7-100,CaDiCaL@DONTUNZIP-fixed,6818.96,6959.40,6725.16,9955.29,505.1,500.3,881.9,562.0
by-X-2-7-100,abcdsat_r18@default,19601.88,12968.81,11617.57,18581.55,467.8,457.3,834.7,516.8
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,CaDiCaL@DONTUNZIP-fixed,1.33,1.45,0.92,1.27,69.0,68.9,34.2,74.2
